Title,Description,Director,Actors,Entidades
Inception,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe","['a thief', 'ceo', 'christopher nolan', 'leonardo dicaprio', 'joseph gordon-levitt', 'ellen page', 'ken watanabe']"
Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler,Annalise Basso","['pacific northwest', 'father', 'matt ross', 'viggo mortensen', 'george mackay', 'samantha isler,annalise basso']"
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie,Matthew McConaughey","['jordan belfort', 'martin scorsese', 'leonardo dicaprio', 'jonah hill', 'margot robbie,matthew mcconaughey']"
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris,Tyler Perry","['man', 'david fincher', 'ben affleck', 'rosamund pike', 'neil patrick harris,tyler perry']"
Furious Seven,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham","['deckard shaw', 'dominic toretto', 'james wan', 'vin diesel', 'paul walker', 'dwayne johnson', 'jason statham']"
Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Ty Simpkins,Judy Greer","['original site', 'jurassic park', 'colin trevorrow', 'chris pratt', 'bryce dallas howard', 'ty simpkins,judy greer']"
Live by Night,"A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",Ben Affleck,"Ben Affleck, Elle Fanning, Brendan Gleeson, Chris Messina","['prohibition era', 'florida', 'ben affleck', 'ben affleck', 'elle fanning', 'brendan gleeson', 'chris messina']"
Avatar,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez","['world', 'moon', 'pandora', 'a paraplegic marine', 'james cameron', 'sam worthington', 'zoe saldana', 'sigourney weaver', 'michelle rodriguez']"
The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins","['bounty hunter', 'wyoming', 'cabin', 'prisoner', 'quentin tarantino', 'samuel l. jackson', 'kurt russell', 'jennifer jason leigh', 'walton goggins']"
The Accountant,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal","['books', 'treasury department', 'math savant', ""gavin o'connor"", 'ben affleck', 'anna kendrick', 'j.k. simmons', 'jon bernthal']"
Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis,Melissa Leo","['keller dover', 'denis villeneuve', 'hugh jackman', 'jake gyllenhaal', 'viola davis,melissa leo']"
Warcraft,"As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.",Duncan Jones,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper","['azeroth', 'duncan jones', 'travis fimmel', 'paula patton', 'ben foster', 'dominic cooper']"
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Tate Taylor,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard","['an aspiring author', 'book', 'civil rights movement', '1960s', 'tate taylor', 'emma stone', 'viola davis', 'octavia spencer', 'bryce dallas howard']"
War Dogs,"Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm America's allies in Afghanistan.",Todd Phillips,"Jonah Hill, Miles Teller, Steve Lantz, Gregg Weiner","['afghanistan', 'america', 'david packouz', 'pentagon', 'efraim diveroli', 'todd phillips', 'jonah hill', 'miles teller', 'steve lantz', 'gregg weiner']"
Avengers: Age of Ultron,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","['earth', 'bruce banner', 'ultron', 'joss whedon', 'robert downey jr.', 'chris evans', 'mark ruffalo', 'chris hemsworth']"
The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer","['los angeles', 'porn star', '1970s', 'shane black', 'russell crowe', 'ryan gosling', 'angourie rice', 'matt bomer']"
Kimi no na wa,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yuki","['two strangers', 'makoto shinkai', 'ryunosuke kamiki', 'mone kamishiraishi', 'ryo narita', 'aoi yuki']"
The Void,"Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",Jeremy Gillespie,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe","['police officer', 'understaffed hospital', 'jeremy gillespie', 'aaron poole', 'kenneth welsh,daniel fathers', 'kathleen munroe']"
Personal Shopper,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz,Anders Danielsen Lie","['a personal shopper', 'a mysterious person', 'paris', 'her twin brother', 'olivier assayas', 'kristen stewart', 'lars eidinger', 'sigrid bouaziz,anders danielsen lie']"
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","['an undercover cop', 'south boston', 'mole', 'martin scorsese', 'leonardo dicaprio', 'matt damon', 'jack nicholson', 'mark wahlberg']"
Legend,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,Brian Helgeland,"Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson","['london', '1960s', 'ronald and reginald kray', 'brian helgeland', 'tom hardy', 'emily browning', 'taron egerton', 'paul anderson']"
Thor,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston","['earth', 'thor', 'asgard', 'midgard', 'kenneth branagh', 'chris hemsworth', 'anthony hopkins', 'natalie portman', 'tom hiddleston']"
The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Ridley Scott,"Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara","['earth', 'mars', 'an astronaut', 'ridley scott', 'matt damon', 'jessica chastain', 'kristen wiig', 'kate mara']"
Contratiempo,A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover.,Oriol Paulo,"Mario Casas, Ana Wagener, José Coronado, Bárbara Lennie","['assassination', 'lawyer', 'a young businessman', 'oriol paulo', 'mario casas', 'ana wagener', 'jose coronado', 'barbara lennie']"
The Man from U.N.C.L.E.,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.",Guy Ritchie,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki","['napoleon solo', 'kgb operative illya kuryakin', 'early 1960s', 'guy ritchie', 'henry cavill', 'armie hammer', 'alicia vikander', 'elizabeth debicki']"
Hell or High Water,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham","['ranch', 'a divorced father', 'ex-con older brother', 'west texas', 'david mackenzie', 'chris pine', 'ben foster', 'jeff bridges', 'gil birmingham']"
The Comedian,A look at the life of an aging insult comic named Jack Burke.,Taylor Hackford,"Robert De Niro, Leslie Mann, Danny DeVito, Edie Falco","['jack burke', 'taylor hackford', 'robert de niro', 'leslie mann', 'danny devito', 'edie falco']"
The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",David Yates,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz","['tarzan', 'london', 'jungle', 'mining encampment', 'david yates', 'alexander skarsgard', 'rory j. saper', 'christian stevens', 'christoph waltz']"
All We Had,A mother struggles to make a better life for her daughter.,Katie Holmes,"Eve Lindley, Richard Kind, Mark Consuelos, Katherine Reis","['a mother', 'daughter', 'katie holmes', 'eve lindley', 'richard kind', 'mark consuelos', 'katherine reis']"
Ex Machina,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac,Sonoya Mizuno","['a young programmer', 'synthetic intelligence', 'alex garland', 'alicia vikander', 'domhnall gleeson', 'oscar isaac,sonoya mizuno']"
The Belko Experiment,"In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley","['bogota', 'unknown voice', 'colombia', 'greg mclean', 'john gallagher jr.', 'tony goldwyn', 'adria arjona', 'john c. mcginley']"
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt","['upstate new york', 'solomon northup', 'united states', 'steve mcqueen', 'chiwetel ejiofor', 'michael kenneth williams', 'michael fassbender', 'brad pitt']"
The Bad Batch,A dystopian love story in a Texas wasteland and set in a community of cannibals.,Ana Lily Amirpour,"Keanu Reeves, Jason Momoa, Jim Carrey, Diego Luna","['a dystopian love story', 'texas wasteland', 'ana lily amirpour', 'keanu reeves', 'jason momoa', 'jim carrey', 'diego luna']"
300,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","['480 b.c.', 'thermopylae', 'king leonidas', 'sparta', 'zack snyder', 'gerard butler', 'lena headey', 'david wenham', 'dominic west']"
Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon","['harry', 'final battle', 'ron', 'hermione', 'voldemort', 'hogwarts', 'david yates', 'daniel radcliffe', 'emma watson', 'rupert grint', 'michael gambon']"
Office Christmas Party,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Josh Gordon,"Jason Bateman, Olivia Munn, T.J. Miller,Jennifer Aniston","['christmas party', 'branch manager', 'branch', 'ceo sister', 'josh gordon', 'jason bateman', 'olivia munn', 't.j. miller,jennifer aniston']"
The Neon Demon,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman","['los angeles', 'jesse', 'nicolas winding refn', 'elle fanning', 'christina hendricks', 'keanu reeves', 'karl glusman']"
